Year,Precipitation
1960,77.3
1961,66.3
1962,92.7
1963,108.8
1964,89.7
1965,72.7
1966,77.2
1967,73.4
1968,91.7
1969,80.1
1970,80.2
1971,75.4
1972,80.8
1973,77.1
1974,84.2
1975,71.1
1976,81.7
1977,88.4
1978,87
1979,94.5
1980,76.6
1981,84.3
1982,74.4
1983,81.4
1984,72.2
1985,79.9
1986,84.7
1987,74.4
1988,87.3
1989,75.7
1990,76.5
1991,83.5
1992,64.4
1993,78.8
1994,69.4
1995,85.5
1996,71.9
1997,79.6
1998,91.3
1999,60
2000,72.4
2001,79.1
2002,93
2003,76.9
2004,59.7
2005,70.6
2006,72.9
2007,90
2008,80.5
2009,81.3
2010,95.4
2011,73.7
2012,90.7
2013,74.8
2014,81.8
2015,78.1
2016,96.5
2017,71.8
2018,85.6
2019,79
